Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),18:00,00:20,06h 20m,INR 649,32 Seats available,"3.0
85",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
Vijay Tour and Travels,A/C Seater / Sleeper (2+1),19:00,01:30,06h 30m,INR 599,22 Seats available,"3.5
41",https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
Jaiswal Tour and Travels,A/C Sleeper (2+1),22:50,04:35,05h 45m,INR 800,30 Seats available,2.5,https://www.redbus.in/bus-tickets/bareilly-to-delhi,Bareilly to Delhi
UPSRTC - BDV0084,Ordinary Non AC Seater 2+3,12:28,15:48,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - ALI0007,Janrath AC Seater 2+3,12:30,15:30,03h 00m,INR 263,45 Seats available,"4.0
19",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0098,Ordinary Non AC Seater 2+3,12:30,15:50,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - ALI0175,Janrath AC Seater 2+2,12:59,16:00,03h 01m,INR 304,34 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0174,Janrath AC Seater 2+2,13:59,16:59,03h 00m,INR 304,24 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0088,Ordinary Non AC Seater 2+3,15:28,18:48,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0110,Ordinary Non AC Seater 2+3,15:29,19:17,03h 48m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0102,Ordinary Non AC Seater 2+3,15:30,18:50,03h 20m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0470,Janrath AC Seater 2+2,16:01,19:01,03h 00m,INR 304,21 Seats available, ,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0092,Ordinary Non AC Seater 2+3,17:59,21:18,03h 19m,INR 203,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
R S YADAV SMART BUS PRIVATE LIMITED,VE A/C Sleeper (2+1),22:15,04:15,06h 00m,854,14 Seats available,"3.8
37",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Rahul Travels,AshokLeyland Stile A/C,21:00,02:30,05h 30m,INR 826,25 Seats available,"1.9
6",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Jaiswal Tour and Travels,A/C Seater/Sleeper (2+1),20:30,02:30,06h 00m,INR 700,52 Seats available,"1.7
4",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Rahul Travels,AshokLeyland Stile A/C,21:30,03:30,06h 00m,INR 826,21 Seats available,"1.7
4",https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
New Khaira TPT,A/C Seater / Sleeper (2+2),21:00,03:00,06h 00m,INR 550,16 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
SHAGUN CARGO & TRAVELS,A/C Seater (2+2),17:00,01:00,08h 00m,1850,45 Seats available,2.5,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Jaiswal Tour and Travels,A/C Sleeper (2+1),21:00,03:00,06h 00m,INR 1200,30 Seats available,1.7,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Jaiswal Tour and Travels,A/C Sleeper (2+1),20:45,02:45,06h 00m,INR 1150,30 Seats available,1.7,https://www.redbus.in/bus-tickets/delhi-to-bareilly,Delhi to Bareilly
Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),22:00,01:30,03h 30m,INR 670,51 Seats available,2.6,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
Chaturvedi Bus Service,NON AC Seater / Sleeper 2+1,21:00,00:30,03h 30m,INR 670,45 Seats available,2.6,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
Chaturvedi Bus Service,NON A/C Seater/ Sleeper (2+1),19:30,01:30,06h 00m,INR 520,51 Seats available,2.6,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
Chaturvedi Bus Service,A/C Seater / Sleeper (2+1),20:40,02:30,05h 50m,INR 570,48 Seats available,2.6,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
